
test !
The class contains: System.Collections.Generic.List`1[Microsoft.CodeAnalysis.CSharp.Syntax.ClassDeclarationSyntax] class.
The class AxisEventData - hasAttribute False
The class AbstractEventData - hasAttribute False
The class BaseEventData - hasAttribute False
The class PointerEventData - hasAttribute False
The class EventSystem - hasAttribute False
The class EventTrigger - hasAttribute False
The class TriggerEvent - hasAttribute False
The class Entry - hasAttribute False
The class ExecuteEvents - hasAttribute False
The class BaseInput - hasAttribute False
The class BaseInputModule - hasAttribute False
The class PointerInputModule - hasAttribute False
The class ButtonState - hasAttribute False
The class MouseState - hasAttribute False
The class MouseButtonEventData - hasAttribute False
The class StandaloneInputModule - hasAttribute False
The class TouchInputModule - hasAttribute False
The class RaycasterManager - hasAttribute False
The class BaseRaycaster - hasAttribute False
The class Physics2DRaycaster - hasAttribute False
The class PhysicsRaycaster - hasAttribute False
The class RaycastHitComparer - hasAttribute False
The class UIBehaviour - hasAttribute False
The class PanelEventHandler - hasAttribute False
The class PointerEvent - hasAttribute False
The class PanelRaycaster - hasAttribute False
The class ColorTweenCallback - hasAttribute False
The class FloatTweenCallback - hasAttribute False
The class TweenRunner - hasAttribute False
The class AnimationTriggers - hasAttribute False
The class Button - hasAttribute False
The class ButtonClickedEvent - hasAttribute False
The class CanvasUpdateRegistry - hasAttribute False
The class ClipperRegistry - hasAttribute False
The class Clipping - hasAttribute False
The class RectangularVertexClipper - hasAttribute False
The class DefaultControls - hasAttribute False
The class DefaultRuntimeFactory - hasAttribute False
The class Dropdown - hasAttribute False
The class DropdownItem - hasAttribute False
The class OptionData - hasAttribute False
The class OptionDataList - hasAttribute False
The class DropdownEvent - hasAttribute False
The class FontData - hasAttribute False
The class FontUpdateTracker - hasAttribute False
The class Graphic - hasAttribute False
The class GraphicRaycaster - hasAttribute False
The class GraphicRebuildTracker - hasAttribute False
The class GraphicRegistry - hasAttribute False
The class Image - hasAttribute False
The class InputField - hasAttribute False
The class SubmitEvent - hasAttribute False
The class EndEditEvent - hasAttribute False
The class OnChangeEvent - hasAttribute False
The class AspectRatioFitter - hasAttribute False
The class CanvasScaler - hasAttribute False
The class ContentSizeFitter - hasAttribute False
The class GridLayoutGroup - hasAttribute False
The class HorizontalLayoutGroup - hasAttribute False
The class HorizontalOrVerticalLayoutGroup - hasAttribute False
The class LayoutElement - hasAttribute False
The class LayoutGroup - hasAttribute False
The class LayoutRebuilder - hasAttribute False
The class LayoutUtility - hasAttribute False
The class VerticalLayoutGroup - hasAttribute False
The class Mask - hasAttribute False
The class MaskableGraphic - hasAttribute False
The class CullStateChangedEvent - hasAttribute False
The class MaskUtilities - hasAttribute False
The class Misc - hasAttribute False
The class MultipleDisplayUtilities - hasAttribute False
The class RawImage - hasAttribute False
The class RectMask2D - hasAttribute False
The class Scrollbar - hasAttribute False
The class ScrollEvent - hasAttribute False
The class ScrollRect - hasAttribute False
The class ScrollRectEvent - hasAttribute False
The class Selectable - hasAttribute False
The class SetPropertyUtility - hasAttribute False
The class Slider - hasAttribute False
The class SliderEvent - hasAttribute False
The class IndexedSet - hasAttribute False
The class StencilMaterial - hasAttribute False
The class MatEntry - hasAttribute False
The class Text - hasAttribute False
The class Toggle - hasAttribute False
The class ToggleEvent - hasAttribute False
The class ToggleGroup - hasAttribute False
The class ReflectionMethodsCache - hasAttribute False
The class VertexHelper - hasAttribute False
The class BaseVertexEffect - hasAttribute False
The class BaseMeshEffect - hasAttribute False
The class Outline - hasAttribute False
The class PositionAsUV1 - hasAttribute False
The class Shadow - hasAttribute False
Success
